The 2500 is for the radiant dye and the 3098 is for Thorlabs black.
x_peak: 3100, y_peak: 1960, x0: 3100.0, y0: 1960.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3091, y_peak: 1990, x0: 3091.0, y0: 1990.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2497, y_peak: 2040, x0: 2497.0, y0: 2040.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2500, y_peak: 2052, x0: 2500.0, y0: 2052.0, A: 6.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3097, y_peak: 1972, x0: 3097.0, y0: 1972.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2497, y_peak: 2047, x0: 2497.0, y0: 2047.0, A: 6.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3099, y_peak: 1956, x0: 3099.0, y0: 1956.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2506, y_peak: 2051, x0: 2506.0, y0: 2051.0, A: 6.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3090, y_peak: 1962, x0: 3090.0, y0: 1962.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2504, y_peak: 2038, x0: 2504.0, y0: 2038.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3097, y_peak: 1966, x0: 3097.0, y0: 1966.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3101, y_peak: 1985, x0: 3101.0, y0: 1985.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2505, y_peak: 2037, x0: 2505.0, y0: 2037.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2497, y_peak: 2046, x0: 2497.0, y0: 2046.0, A: 6.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3094, y_peak: 1960, x0: 3094.0, y0: 1960.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2490, y_peak: 2039, x0: 2490.0, y0: 2039.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3102, y_peak: 1968, x0: 3102.0, y0: 1968.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
